SEM_EXM_EXCH_ID, SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME,TICKER,EXPIRY
NSE,D,40957,OPTSTK,0,ESCORTS-Aug2024-2100-CE,275.0,ESCORTS 29 AUG 2100 CALL,2024-08-29 14:30:00,2100.0,CE,5.0,M,OP,,,ESCORTS,Aug2024
NSE,D,40958,OPTSTK,0,ESCORTS-Aug2024-2100-PE,275.0,ESCORTS 29 AUG 2100 PUT,2024-08-29 14:30:00,2100.0,PE,5.0,M,OP,,,ESCORTS,Aug2024
NSE,D,40959,OPTSTK,0,ESCORTS-Aug2024-2200-CE,275.0,ESCORTS 29 AUG 2200 CALL,2024-08-29 14:30:00,2200.0,CE,5.0,M,OP,,,ESCORTS,Aug2024
NSE,D,40963,OPTSTK,0,DRREDDY-Aug2024-8150-CE,125.0,DRREDDY 29 AUG 8150 CALL,2024-08-29 14:30:00,8150.0,CE,5.0,M,OP,,,DRREDDY,Aug2024
NSE,D,40965,OPTSTK,0,DRREDDY-Aug2024-8150-PE,125.0,DRREDDY 29 AUG 8150 PUT,2024-08-29 14:30:00,8150.0,PE,5.0,M,OP,,,DRREDDY,Aug2024
NSE,D,40966,OPTSTK,0,ESCORTS-Aug2024-2200-PE,275.0,ESCORTS 29 AUG 2200 PUT,2024-08-29 14:30:00,2200.0,PE,5.0,M,OP,,,ESCORTS,Aug2024
NSE,D,40967,OPTSTK,0,ESCORTS-Aug2024-2550-CE,275.0,ESCORTS 29 AUG 2550 CALL,2024-08-29 14:30:00,2550.0,CE,5.0,M,OP,,,ESCORTS,Aug2024
NSE,D,40968,OPTSTK,0,ESCORTS-Aug2024-2550-PE,275.0,ESCORTS 29 AUG 2550 PUT,2024-08-29 14:30:00,2550.0,PE,5.0,M,OP,,,ESCORTS,Aug2024
NSE,D,40972,OPTSTK,0,DRREDDY-Aug2024-9100-CE,125.0,DRREDDY 29 AUG 9100 CALL,2024-08-29 14:30:00,9100.0,CE,5.0,M,OP,,,DRREDDY,Aug2024
NSE,D,40973,OPTSTK,0,DRREDDY-Aug2024-9100-PE,125.0,DRREDDY 29 AUG 9100 PUT,2024-08-29 14:30:00,9100.0,PE,5.0,M,OP,,,DRREDDY,Aug2024
NSE,D,40976,OPTSTK,0,ESCORTS-Aug2024-2650-CE,275.0,ESCORTS 29 AUG 2650 CALL,2024-08-29 14:30:00,2650.0,CE,5.0,M,OP,,,ESCORTS,Aug2024
NSE,D,40977,OPTSTK,0,ESCORTS-Aug2024-2650-PE,275.0,ESCORTS 29 AUG 2650 PUT,2024-08-29 14:30:00,2650.0,PE,5.0,M,OP,,,ESCORTS,Aug2024
NSE,D,40982,OPTSTK,0,ESCORTS-Aug2024-2750-CE,275.0,ESCORTS 29 AUG 2750 CALL,2024-08-29 14:30:00,2750.0,CE,5.0,M,OP,,,ESCORTS,Aug2024
NSE,D,40986,OPTSTK,0,ESCORTS-Aug2024-2750-PE,275.0,ESCORTS 29 AUG 2750 PUT,2024-08-29 14:30:00,2750.0,PE,5.0,M,OP,,,ESCORTS,Aug2024
NSE,D,41002,OPTSTK,0,EXIDEIND-Aug2024-410-CE,1800.0,EXIDEIND 29 AUG 410 CALL,2024-08-29 14:30:00,410.0,CE,5.0,M,OP,,,EXIDEIND,Aug2024
NSE,D,41003,OPTSTK,0,EXIDEIND-Aug2024-410-PE,1800.0,EXIDEIND 29 AUG 410 PUT,2024-08-29 14:30:00,410.0,PE,5.0,M,OP,,,EXIDEIND,Aug2024
